"HostName","AppID","AppName","UserSID","UserName","ACL","Service","RunAs","Error"
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-32-544","BUILTIN\Administrators","Owner",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-32-544","BUILTIN\Administrators","Group",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-4","NT AUTHORITY\INTERACTIVE","AccessPermission - Local Launch",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-4","NT AUTHORITY\INTERACTIVE","AccessPermission - Remote Launch",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-10","NT AUTHORITY\SELF","AccessPermission - Local Launch",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-10","NT AUTHORITY\SELF","AccessPermission - Remote Launch",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-10","NT AUTHORITY\SELF","AccessPermission - Local Activation",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-18","NT AUTHORITY\SYSTEM","AccessPermission - Local Launch",,,
"DC-SRV01","{00021401-0000-0000-C000-000000000046}",,"S-1-5-18","NT AUTHORITY\SYSTEM","AccessPermission - Remote Launch",,,
"DC-SRV01","{01419581-4d63-4d43-ac26-6e2fc976c1f3}","TabTip","S-1-5-32-544","BUILTIN\Administrators","Owner",,,
"DC-SRV01","{01419581-4d63-4d43-ac26-6e2fc976c1f3}","TabTip","S-1-5-32-544","BUILTIN\Administrators","Group",,,
"DC-SRV01","{01419581-4d63-4d43-ac26-6e2fc976c1f3}","TabTip","S-1-1-0","Everyone","LaunchPermission - Local Launch",,,
"DC-SRV01","{01419581-4d63-4d43-ac26-6e2fc976c1f3}","TabTip","S-1-1-0","Everyone","LaunchPermission - Remote Launch",,,
"DC-SRV01","{01419581-4d63-4d43-ac26-6e2fc976c1f3}","TabTip","S-1-1-0","Everyone","LaunchPermission - Remote Activation",,,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","Owner","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","Group","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-1-0","Everyone","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-1-0","Everyone","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-1-0","Everyone","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-18","NT AUTHORITY\SYSTEM","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-18","NT AUTHORITY\SYSTEM","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-18","NT AUTHORITY\SYSTEM","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","LaunchPermission - Remote Access","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","LaunchPermission - Remote Access","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-3-3215430884-1339816292-89257616-1145831019","?","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-3-3215430884-1339816292-89257616-1145831019","?","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-3-3215430884-1339816292-89257616-1145831019","?","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-19","NT AUTHORITY\LOCAL SERVICE","LaunchPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-19","NT AUTHORITY\LOCAL SERVICE","LaunchPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-19","NT AUTHORITY\LOCAL SERVICE","LaunchPermission - Remote Activation","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","Owner","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","Group","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-10","NT AUTHORITY\SELF","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-10","NT AUTHORITY\SELF","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-1-0","Everyone","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-1-0","Everyone","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-18","NT AUTHORITY\SYSTEM","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-18","NT AUTHORITY\SYSTEM","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-32-544","BUILTIN\Administrators","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-5-4","NT AUTHORITY\INTERACTIVE","AccessPermission - Remote Access","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","AccessPermission - Local Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","AccessPermission - Remote Launch","lfsvc",,
"DC-SRV01","{020FB939-2C8B-4DB7-9E90-9527966E38E5}","lfsvc","S-1-15-2-1","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","AccessPermission - Remote Access","lfsvc",,
