"HostName","OwnerDomain","Owner","UserSID","IsLocalUser","ProcessId","CommandLine","Description","Name","SessionId","CreationDate","Error"
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","3020","C:\Windows\system32\ApplicationFrameHost.exe","Application Frame Host","ApplicationFrameHost","1","11/11/2024 11:46:21 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2084","C:\Windows\system32\certsrv.exe","Microsoft® Certificate Service","certsrv","0","11/11/2024 11:44:31 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","2668","C:\Windows\system32\conhost.exe","Console Window Host","conhost","1","11/11/2024 11:45:29 AM",
"DC-SRV01",,,"S-0-0-0","True","428",,,"csrss","0","11/11/2024 11:44:18 AM",
"DC-SRV01",,,"S-0-0-0","True","508",,,"csrss","1","11/11/2024 11:44:18 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","368","C:\Windows\system32\ctfmon.exe","CTF Loader","ctfmon","1","11/11/2024 11:45:21 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","2412","C:\Tools\DesktopInfo\DesktopInfo64.exe","Desktop Info","DesktopInfo64","1","11/11/2024 11:45:37 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2136","C:\Windows\system32\DFSRs.exe","Distributed File System Replication","dfsrs","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2260","C:\Windows\system32\dfssvc.exe","Windows NT Distributed File System Service","dfssvc","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2144","C:\Windows\system32\dns.exe","Domain Name System (DNS) Server","dns","0","11/11/2024 11:44:31 AM",
"DC-SRV01","Window Manager","DWM-1","S-1-5-90-0-1","True","1000","C:\Windows\system32\dwm.exe","Desktop Window Manager","dwm","1","11/11/2024 11:44:21 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4100","C:\Windows\Explorer.EXE","Windows Explorer","explorer","1","11/11/2024 11:45:22 AM",
"DC-SRV01","Font Driver Host","UMFD-0","S-1-5-96-0-0","True","2600","C:\Windows\system32\fontdrvhost.exe","Usermode Font Driver Host","fontdrvhost","0","11/11/2024 11:44:31 AM",
"DC-SRV01","Font Driver Host","UMFD-1","S-1-5-96-0-1","True","2608","C:\Windows\system32\fontdrvhost.exe","Usermode Font Driver Host","fontdrvhost","1","11/11/2024 11:44:31 AM",
"DC-SRV01",,,"S-0-0-0","True","0",,,"Idle","0",,
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2156","C:\Windows\System32\ismserv.exe","Windows NT Intersite Messaging Service","ismserv","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","652","C:\Windows\system32\lsass.exe","Local Security Authority Process","lsass","0","11/11/2024 11:44:19 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2076","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","Microsoft.ActiveDirectory.WebServices","Microsoft.ActiveDirectory.WebServices","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2716","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Edge Update","MicrosoftEdgeUpdate","0","11/15/2024 2:29:06 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","4172","C:\Windows\System32\mousocoreworker.exe","MoUSO Core Worker Process","MoUsoCoreWorker","0","11/15/2024 2:29:07 AM",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","3252","C:\Windows\System32\msdtc.exe","Microsoft Distributed Transaction Coordinator Service","msdtc","0","11/11/2024 11:46:34 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","1512","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Windows PowerShell","powershell","1","11/11/2024 11:45:29 AM",
"DC-SRV01",,,"S-0-0-0","True","100",,,"Registry","0","11/11/2024 11:44:09 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4600","C:\Windows\System32\RuntimeBroker.exe","Runtime Broker","RuntimeBroker","1","11/11/2024 11:45:24 AM",
