"HostName","URI","Author","Date","LogonType","State","UserId","Actions","Triggers","LastRunTime","LastTaskResult","NextRunTime","NumberOfMissedRuns","Error"
"DC-SRV01","\CreateExplorerShellUnelevatedTask","ExplorerShellUnelevated",,"Interactive (User Must be logged in)","Enabled","Administrator","{'Arguments':'/NoUACCheck','Execute':'C:\\Windows\\Explorer.EXE'}","{'Enabled':true,'Id':'CreateExplorerShell_Trigger','Repetition':{'StopAtDurationEnd':false}}","11/11/2024 11:45:45 AM","267009",,"0",
"DC-SRV01","\MicrosoftEdgeUpdateTaskMachineCore1d9f57c5d479c98",,,"Local Service/System or Network Service","Enabled","SYSTEM","{'Arguments':'/c','Execute':'C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'DaysInterval':1,'Enabled':true,'Repetition':{'StopAtDurationEnd':false},'StartBoundary':'2024-11-11T01:54:26'}]","11/15/2024 2:29:29 AM","267009","11/16/2024 1:54:54 AM","0",
"DC-SRV01","\MicrosoftEdgeUpdateTaskMachineUA",,,"Local Service/System or Network Service","Enabled","SYSTEM","{'Arguments':'/ua /installsource scheduler','Execute':'C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe'}","{'DaysInterval':1,'Enabled':true,'Repetition':{'Duration':'P1D','Interval':'PT1H','StopAtDurationEnd':false},'StartBoundary':'2024-11-11T01:24:26'}","11/15/2024 2:29:29 AM","0","11/15/2024 3:24:24 AM","0",
"DC-SRV01","\[GPO] Change DC Pref","earth\Administrator",,"Local Service/System or Network Service","Enabled","SYSTEM","[{'Arguments':'/SC_RESET:corp.lo\\dc42.corp.lo','Execute':'nltest'},{'Arguments':'-nop -exec bypass -Command \'Get-NetAdapter | Set-DnsClientServerAddress -ServerAddresses (\u00271.2.3.4\u0027, \u00275.6.7.8\u0027)\'','Execute':'powershell.exe'},{'Arguments':'/C \'hostname \u003e C:\\schtask.log\'','Execute':'cmd'}]","{'Enabled':true,'EndBoundary':'2024-11-15T02:30:30','Repetition':{'StopAtDurationEnd':false},'StartBoundary':'2024-11-15T02:29:35'}","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Server Initial Configuration Task","$(@%systemroot%\system32\SrvInitConfig.exe,-100)",,"Local Service/System or Network Service","Disabled","SYSTEM","{'Arguments':'/disableconfigtask','Execute':'%windir%\\system32\\srvinitconfig.exe'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","10/2/2023 6:28:28 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319",,"2010-09-30T14:53:37.9516706","Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{84F0FAE1-C27B-4F6F-807B-28CF6F96287D}','Data':'/RuntimeWide'}","[]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64",,"2010-09-30T14:53:37.9516706","Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{429BC048-379E-45E0-80E4-EB1977941B5C}','Data':'/RuntimeWide'}","[]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical",,"2010-09-30T14:53:37.9516706","Local Service/System or Network Service","Disabled","SYSTEM","{'ClassId':'{613FBA38-A3DF-4AB8-9674-5604984A299A}','Data':'/RuntimeWide'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","10/2/2023 7:26:26 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical",,"2010-09-30T14:53:37.9516706","Local Service/System or Network Service","Disabled","SYSTEM","{'ClassId':'{DE434264-8FE9-4C0B-A83B-89EBEEBFF78E}','Data':'/RuntimeWide'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","10/2/2023 7:26:26 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","Microsoft Corporation","2006-11-10T14:29:55.5851926","Group","Disabled",,"{'ClassId':'{CF2CF428-325B-48D3-8CA8-7633E36E5A32}'}","[{'DaysInterval':1,'Enabled':true,'Id':'7dba1862-fdda-4030-83de-895375c111d4','RandomDelay':'PT1H','Repetition':{'StopAtDurationEnd':false},'StartBoundary':'2006-11-09T03:00:00'},{'Delay':'PT1H','Enabled':true,'Id':'06b3f632-87ad-4ac0-9737-48ea5ddbaf11','Repetition':{'StopAtDurationEnd':false}}]","11/30/1999 12:00:00 AM","267011","11/15/2024 3:15:15 AM","0",
"DC-SRV01","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","Microsoft Corporation","2006-11-10T14:29:55.5851926","Group","Enabled",,"{'ClassId':'{BF5CB148-7C77-4D8A-A53E-D81C70CF743C}'}","{'Delay':'PT1H','Enabled':false,'Id':'06b3f632-87ad-4ac0-9737-48ea5ddbaf11','Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\AppID\EDP Policy Manager","Microsoft Corporation","2015-02-09T10:54:13.9629482","Local Service/System or Network Service","Enabled","LOCAL SERVICE","{'ClassId':'{DECA92E0-AF85-439E-9204-86679978DA08}','Data':'EdpPolicyManager'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}]","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\AppID\PolicyConverter","Microsoft Corporation",,"Local Service/System or Network Service","Disabled","SYSTEM","{'Execute':'%windir%\\system32\\appidpolicyconverter.exe'}","[]","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","Microsoft Corporation",,"Local Service/System or Network Service","Disabled","LOCAL SERVICE","{'Execute':'%windir%\\system32\\appidcertstorecheck.exe'}","{'Delay':'PT30M','Enabled':true,'Repetition':{'Interval':'P1D','StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'Execute':'%windir%\\system32\\compattelrunner.exe'}","[{'Enabled':true,'Id':'NightlyTrigger','RandomDelay':'PT2H','Repetition':{'Interval':'P1D','StopAtDurationEnd':false},'StartBoundary':'2008-09-01T03:00:00'},{'Enabled':true,'Id':'OobeTrigger','Repetition':{'StopAtDurationEnd':false}},{'Enabled':false,'Id':'NetworkTrigger','Repetition':{'StopAtDurationEnd':false}}]","11/15/2024 2:29:29 AM","0","11/15/2024 4:58:58 AM","0",
